ID,Карточка (как звучит),Когда,Тип,ДА — последствия (механика),ДА — Δшкалы,НЕТ — последствия (механика),НЕТ — Δшкалы,Ведущий (ДА),Ведущий (НЕТ),Некролог ДА,Некролог НЕТ,Флаги,Длительный эффект,Тон
CH25,"Написать записку тому, кто сидит впереди?",9–15,Сцена,Нет последствий (влияет на некролог),—,Нет последствий,—,"Ах, любовь!",Промолчал!,"Записку тому, кто сидел впереди, всё-таки передали.","Записка тому, кто сидел впереди, осталась ненаписанной.",,—,sweet
CH26,"Сдать одноклассника, который курил за гаражами?",10–15,Школа,Нет последствий (влияет на некролог),—,Нет последствий,—,Долг зовёт!,Могила!,Одноклассника за гаражами однажды сдали.,Про гаражи никому не рассказали.,ROND,—,bitter
CH27,Лизнуть качели на морозе?,5–12,Детство/Дичь,Нет последствий (только эффект шкалы),Здр −15,Нет последствий,—,Прилип!,Умный!,Качели на морозе лизнули один раз — хватило навсегда.,Железо на морозе не трогали.,,—,absurd
CH28,"Засунуть в нос горошину, потому что интересно?",4–8,Детство/Дичь,Нет последствий (только эффект шкалы),Здр −7,Нет последствий,—,Исследователь!,Нос свободен!,"Горошина побывала в носу, и доставали её вдвоём с врачом.","Горошину съели, как положено.",,—,absurd
CH29,Съехать с горки в тележке из супермаркета?,7–14,Детство/Дичь,Нет последствий (только эффект шкалы),Здр −15,Нет последствий,—,Гонщик!,Пешком!,На тележке из супермаркета съехали с горки — один раз.,Тележку из супермаркета не трогали.,,—,absurd
CH30,Подарить маме рисунок вместо уборки?,4–9,Сцена,Нет последствий (влияет на некролог),—,Нет последствий,—,Художник!,Порядок!,"Маме подарили рисунок, а комната осталась неубранной.","Комнату убрали, рисунок не дорисовали.",ROND,—,warm
CH31,"Сказать бабушке, что суп невкусный?",5–10,Кек,Нет последствий (влияет на некролог),—,Нет последствий,—,Правдоруб!,Дипломат!,Бабушке однажды сказали правду про суп.,"Суп доедали молча, каждый раз.",ROND,—,absurd
CH32,Прятать плохую оценку до последнего?,8–15,Школа,Нет последствий (влияет на некролог),—,Нет последствий,—,Конспиратор!,Сознался!,"Плохую оценку прятали до последнего, и её всё равно нашли.",Про плохую оценку рассказали сами.,ROND,—,risky
CH33,Просить собаку каждый день целый год?,6–12,Сцена,Нет последствий (влияет на некролог),—,Нет последствий,—,Не сдаёшься!,Смирился!,Собаку выпросили ровно через год.,Собаку так и не завели.,,—,warm
CH34,"Не спать всю ночь, чтобы увидеть Деда Мороза?",4–9,Сцена,Нет последствий (влияет на некролог),—,Нет последствий,—,Дозор!,Спать!,Целую ночь не спали ради Деда Мороза и всё равно уснули.,Деда Мороза караулить не стали.,ROND,—,sweet
CR10,НАПИСАТЬ БЫВШЕЙ В ТРИ ЧАСА НОЧИ?,импульс-раунд (если ≥2 промаха),Импульс,"Сообщение ушло; наутро его прочитали все, кому не следовало",Отн −12,Импульс погашен,—,Отправил!,Телефон в сторону!,Однажды ночью отправили то самое сообщение — и до утра не спали.,Ночью телефон отложили — редкая в жизни победа.,INVERT,—,risky
CR11,УВОЛИТЬСЯ ОДНИМ СООБЩЕНИЕМ ПРЯМО СЕЙЧАС?,импульс-раунд (если ≥2 промаха),Импульс,Свобода немедленно; доход-множитель падает вдвое до конца жизни,Эн +18,Импульс погашен,—,Красиво ушёл!,Досидим до пенсии!,"Уволились одним сообщением — говорят, это было красиво.","С работы так и не ушли, хотя очень хотелось.",INVERT,MULT:Дн=x0.5,risky
CR12,"ОСТРИЧЬ СЕБЯ САМОМУ, ПРЯМО СЕЙЧАС, НОЖНИЦАМИ?",импульс-раунд (если ≥2 промаха),Импульс,Нет последствий (только эффект шкал и фотография на память),"Эн +8, Отн −5",Импульс погашен,—,Смелая линия!,Пощадили голову!,Как-то раз остриглись сами — фотографии сохранились.,От ножниц себя уберегли.,INVERT,—,absurd
FA11,Съехать от родителей в первую же съёмную комнату?,18–19,Развилка,Залог за комнату; разблокирует FC16 (вернуться в 30–40),Дн −20,Живёшь дома дальше,—,Своя жизнь!,Дома кормят!,Из родительского дома съехали в первую же попавшуюся комнату.,Из родительского дома не спешили — и это было удобно.,"BLOCK$, CHAIN→FC16",—,risky
FA12,Звонить маме каждое воскресенье?,18–19,Сцена,Нет последствий (влияет на некролог),—,Нет последствий,—,Хороший сын!,Занят-занят!,"Маме звонили каждое воскресенье, все эти годы.",Позвонить домой всё собирались — и всё откладывали.,,—,warm
FA13,Взять у родителей денег «в последний раз»?,18–19,Соблазн,Родители дают,Дн +20,Справляешься сам,—,В последний!,Взрослый!,У родителей заняли в последний раз — и потом ещё несколько раз.,Денег у родителей больше не просили.,,—,risky
FA14,"Сказать отцу, что выбрал другую профессию?",18–19,Сцена,Разговор выходит долгим,Здр −7,Молчишь дальше,—,Смело!,Промолчали!,"Отцу сказали правду про профессию, и разговор вышел долгим.",Про свой выбор отцу так и не сказали.,,—,bitter
FA15,Выйти в ночную смену вместо выходного?,18–19,Сцена,Смена оплачена,"Дн +20, Здр −7",Выходной остаётся выходным,—,Работяга!,Отдыхаем!,Выходные меняли на ночные смены.,Выходные оставались выходными.,,—,bitter
FA16,Улыбаться хамскому клиенту до конца смены?,18–19,Сцена,Смена дотерпена,Здр −7,Ответил — и смена кончилась,—,Профессионал!,Ох!,Хамам улыбались до конца смены — работа такая.,"Однажды нахамили в ответ, и было хорошо.",,—,bitter
FA17,Получить первую зарплату в конверте и не спросить почему?,18–19,Соблазн,Конверт в кармане,Дн +25,Спросил — работа кончилась,—,Не считай!,Любопытный!,Первую зарплату взяли в конверте и вопросов не задавали.,"Спросили, почему в конверте, — и работать стало негде.",,—,risky
FA18,«Поработай месяц бесплатно — зато опыт»?,18–19,Кек,Месяц бесплатно; опыта не прибавилось,Здр −7,Отказался сразу,—,Инвестиция!,Умница!,Месяц отработали бесплатно ради опыта.,Бесплатно работать отказались сразу.,ROND,—,absurd
FA19,"Уволиться в первый же месяц, потому что невыносимо?",18–19,Развилка,"Ушёл, ищешь заново",—,Дотерпел,Здр −7,И правильно!,Терпим!,"С первой работы ушли, не доработав месяца.",Первую работу дотерпели до конца.,,—,risky
FA20,Сделать первую татуировку по эскизу из интернета?,18–19,Соблазн,"Салон, час, навсегда",Дн −20,Кожа чистая,—,Навсегда!,Передумал!,Первую татуировку набили по картинке из интернета.,Кожа осталась чистой.,BLOCK$,—,absurd
FA21,Проколоть что-нибудь на спор?,18–19,Кек,Прокол заживает как умеет,Здр −7,Спор проигран,—,Дырка!,Целый!,"На спор прокололи то, что потом заросло.",Спорить о проколах не стали.,ROND,—,absurd
FA22,"Покраситься в цвет, который был на картинке?",18–19,Кек,Цвет вышел не тот,Дн −12,Свой цвет,—,Ярко!,Скучно!,"Однажды покрасились в цвет, которого не было в природе.",Цвет волос остался свой.,"BLOCK$, ROND",—,absurd
FA23,"Спать по четыре часа, потому что успеть надо всё?",18–19,Соблазн,"Успеваешь больше, платишь телом",Здр −15,Спишь как человек,—,Титан!,Соня!,Спали по четыре часа и считали это нормой.,Сон берегли смолоду.,,—,risky
FA24,Сесть на диету из одного продукта?,18–19,Кек,Месяц одного и того же,Здр −15,Ешь как обычно,—,Дисциплина!,Разумно!,Месяц ели один продукт и назвали это диетой.,Диеты из одного продукта обошли стороной.,ROND,—,absurd
FA25,Переехать в общагу к четверым незнакомым?,18–19,Сцена,"Койка, тумбочка, четверо соседей",Дн −15,Живёшь один,—,Весело!,Тишина!,Жили вчетвером в одной комнате и почти не ссорились.,Соседей по комнате себе не заводили.,BLOCK$,—,warm
FA26,Поехать за компанию непонятно куда на выходные?,18–19,Хобби,"Дорога, ночь, чужая дача","Дн −15, Здр −7",Остался дома,—,Авантюрист!,Домосед!,Уезжали за компанию непонятно куда — и возвращались.,За компанию никуда не ездили.,BLOCK$,—,risky
FA27,"Поручиться за друга, который берёт в долг?",18–19,Соблазн,Через ~3 года долг придётся закрывать самому,—,Друг обиделся,—,Настоящий друг!,Осторожный!,"За друга поручились, и отдавали потом сами.","Поручаться за друга не стали, и дружба остыла.",DELAY(3),DRAIN:Дн=-25 ONCE:3y,risky
FA28,Собрать группу в гараже?,18–19,Хобби,Аренда гаража и струны,Дн −20,Музыка остаётся в наушниках,—,Звезда!,Слушатель!,"В гараже собрали группу, которая сыграла три раза.",Группу так и не собрали.,BLOCK$,—,warm
FA29,"Быть тем, кто всегда развозит всех по домам?",18–19,Сцена,"Все дома, ты последний",Здр −7,Едешь домой первым,—,Спаситель!,Каждый сам!,"Всех всегда развозили по домам, а домой добирались сами.",Развозить всех по домам не подписывались.,,—,bitter
FA30,Поставить на матч — «тут же очевидно»?,18–19,Соблазн,Рандом: угадал или нет,Дн ±25,Просто смотришь матч,—,Верняк!,Мудро!,На матч однажды поставили — и запомнили это надолго.,Ставок не делали.,RANDOM_OUTCOME,—,risky
FA31,Взять микрозайм на новый телефон?,18–19,Соблазн,Телефон сразу; потом −0.15 ₽/сек пять лет,Дн +25,Ходишь со старым,—,Связь важна!,Старый работает!,"Телефон взяли в микрозайм и отдавали дольше, чем им пользовались.",Микрозаймов не брали.,,DRAIN:Дн=-0.15/s DUR:5y,risky
FA32,"«Заработок из дома, два часа в день»?",18–19,Кек,"Доступ куплен, заработка нет",Дн −15,Прошёл мимо,—,Гениально! (нет),Не дурак!,Купили доступ к заработку из дома и больше о нём не слышали.,На заработок из дома не повелись.,"BLOCK$, ROND",—,absurd
FA33,"Завести блог, который никто не смотрит?",18–19,Хобби,Нет последствий (влияет на некролог),—,Нет последствий,—,Контент!,И не надо!,"Вели блог, который смотрела только мама.",Блога не заводили.,ROND,—,absurd
FA34,Списаться с человеком из интернета и поехать к нему в другой город?,18–19,Соблазн,"Билет, чужой город, чужая квартира","Дн −20, Здр −7",Остался в переписке,—,Романтика!,Осторожность!,Однажды поехали в другой город к человеку из интернета.,К незнакомцам из интернета не ездили.,BLOCK$,—,risky
FA35,Денег нет вообще. Занять у друга до зарплаты?,"18–19, если на счету < 5 ₽",Сцена,Друг переводит; отдавать придётся,Дн +15,"Голодно, но гордо",Здр −7,Друзья для того и нужны!,Гордость дороже!,"Занимали у друзей до зарплаты, и не всегда отдавали вовремя.","В долг не брали, даже когда было совсем туго.",,—,risky
FB11,Познакомить его с родителями?,20–24,Сцена,"Ужин, вопросы, неловкость",Отн +12,Тянешь дальше,Отн −5,Официально!,Не спешим!,"С родителями познакомили, и ужин прошёл почти хорошо.",Знакомить с родителями так и не стали.,,—,warm
FB12,"Прочитать его переписку, пока он в душе?",20–24,Соблазн,Прочитал — и теперь знаешь,Отн −12,Телефон остался лежать,—,Любопытно!,Доверие!,Однажды прочитали чужую переписку и пожалели.,В чужой телефон не заглядывали ни разу.,,—,risky
FB13,Поехать в первый отпуск вдвоём?,20–24,Сцена,"Море, дешёвый отель, две недели","Дн −45, Отн +12",Отпуск порознь,Отн −5,Голубки!,Порознь!,В первый отпуск вдвоём съездили и не поссорились.,Первый отпуск провели порознь.,BLOCK$,—,warm
FB14,"Сказать вслух, что хочешь детей когда-нибудь?",20–24,Сцена,Разговор состоялся,Отн +5,Тема отложена,Отн −5,Планы!,Потом-потом!,"Про детей однажды заговорили вслух, ещё в двадцать.","Про детей молчали, пока можно было молчать.",,—,sweet
FB15,Он зовёт переехать в его город. Поехать?,20–24,Развилка,Всё бросаешь и едешь,"Дн −25, Отн +12",Остаёшься при своём,Отн −12,За любовь!,За себя!,Ради него переехали в чужой город.,Ради него переезжать не стали.,BLOCK$,—,risky
FB16,Попросить первое повышение?,20–24,Развилка,Рандом: дали или посмеялись,Дн ±25,"Ждёшь, когда заметят",—,Наглость!,Терпение!,"Повышения попросили сами, и однажды его дали.","Повышения ждали, пока заметят.",RANDOM_OUTCOME,—,risky
FB17,Коллега приписал себе твою работу. Идти к начальнику?,20–24,Сцена,"Разобрались, справедливость восстановлена",Дн +20,Проглотил,Здр −7,Борец!,Смолчал!,За свою работу однажды вступились и выиграли.,Чужое имя под своей работой просто проглотили.,,—,bitter
FB18,"Выступить на конференции, где ты младше всех?",20–24,Сцена,"Трясёт, но заметили","Дн +25, Здр −7",Сидишь в зале,—,Звезда!,В зале!,"Выступали там, где были младше всех в зале.",На сцену не вышли ни разу.,,—,risky
FB19,Работать на двух работах сразу?,20–24,Соблазн,"Денег вдвое, тебя вдвое меньше","Дн +40, Здр −15","Одна работа, один ты",—,Машина!,Разумно!,Работали на двух работах и почти успевали спать.,Второй работы не брали никогда.,,—,bitter
FB20,"Уйти туда, где интереснее, но платят меньше?",20–24,Развилка,"Доход падает, дышится легче",Здр +7,Остаёшься где платят,—,За мечтой!,За деньгами!,"Ушли туда, где интереснее, и денег стало меньше.","Выбрали то, где платят, и не жалели вслух.",,MULT:Дн=x0.7,risky
FB21,Купить первую свою мебель вместо чужой?,20–24,Сцена,"Своё, хоть и из фанеры",Дн −40,Живёшь с чужим шкафом,—,Хозяин!,И так сойдёт!,Первую свою мебель купили в двадцать с небольшим.,Мебель так и оставалась чужой.,BLOCK$,—,warm
FB22,"Научиться готовить, а не заказывать?",20–24,Хобби,"Продукты, ошибки, потом получается","Дн −15, Здр +15",Доставка знает тебя по имени,Здр −7,Шеф!,Доставка!,"Готовить научились сами, и получалось всё лучше.",Готовить так и не научились.,BLOCK$,—,warm
FB23,Сходить к врачу впервые без мамы?,20–24,Сцена,"Талон, очередь, взрослая жизнь","Дн −20, Здр +15",Само пройдёт,Здр −7,Взрослый!,Само пройдёт!,"К врачу впервые пошли сами, и вовремя.",К врачу без мамы так и не собрались.,BLOCK$,—,warm
FB24,Переезд с девятью коробками — просить друзей помочь?,20–24,Кек,"Пицца, спина, благодарность",Отн +5,Нанял грузчиков,Дн −25,Товарищи!,Профессионалы!,Переезжали силами друзей и расплачивались пиццей.,На переезд всегда нанимали чужих людей.,ROND,—,absurd
FB25,"Разобрать коробки, которые стоят с переезда полгода?",20–24,Кек,Нет последствий (влияет на некролог),—,Нет последствий,—,Порядок!,Пусть стоят!,Коробки с переезда разобрали через полгода.,Часть коробок так и не разобрали никогда.,ROND,—,absurd
FB26,Друг уезжает навсегда. Поехать провожать через полстраны?,20–24,Сцена,"Билет, вокзал, три часа","Дн −25, Отн +5",Простились по телефону,Отн −5,Настоящий!,Созвонимся!,Друга провожали через полстраны.,Друга проводили по телефону.,BLOCK$,—,bitter
FB27,"Быть свидетелем на свадьбе того, кто женится первым?",20–24,Сцена,"Костюм, тост, ответственность","Дн −20, Отн +5",Просто гость,—,Свидетель!,С краю!,На первой свадьбе из своих были свидетелем.,На чужих свадьбах сидели с краю.,BLOCK$,—,warm
FB28,"Написать первым в чат, который затих?",20–24,Сцена,"Кто-то отвечает, кто-то нет",Отн +5,Чат остаётся тихим,—,Молодец!,Пусть молчит!,В затихший чат писали первым.,В затихший чат больше никто не писал.,,—,bitter
FB29,Пойти на встречу выпускников?,20–24,Кек,"Все изменились, кроме одного","Здр −7, Отн +5",Остался дома,—,Ностальгия!,Пропустим!,На встречу выпускников сходили один раз.,На встречи выпускников не ходили никогда.,ROND,—,absurd
FB30,Одолжить другу на первый взнос за квартиру?,20–24,Соблазн,"Друг въезжает, ты ждёшь","Дн −45, Отн +12",Отказал,Отн −12,Широкая душа!,Дружба дружбой!,Другу одолжили на квартиру и ждали возврата годами.,"Другу в долг не дали, и он это запомнил.",BLOCK$,—,risky
FB31,"Он говорит, что ему нужно побыть одному. Отпустить?","20–24, если шкала отношений открыта",Развилка,"Разрыв: партнёр уходит, шкала гаснет",—,Удержал — но отношения проваливаются в красную зону и начинают отсчёт,Отн → 38,Отпустил!,Держится!,"Первого человека отпустили, когда он попросил.","Первого человека удержали силой, и вышло только хуже.","ZONE, BREAK:Отн",—,risky
FB32,"Подписать бумаги, которые не читал?",20+,Соблазн,Деньги сразу; через ~5 лет чужой долг становится твоим,Дн +25,Читаешь всё до конца,—,Доверчивый!,Юрист!,"Подписали не читая, и через пять лет за это платили.","Бумаги читали до конца, всегда.",DELAY(5),DRAIN:Дн=-60 ONCE:5y,risky
FB33,Оформить на себя фирму знакомого за процент?,20+,Соблазн,Процент капает; через ~4 года фатальный финал (причина: чужая фирма),Дн +40,Отказался,—,Бизнесмен!,Чуйка!,—,Оформлять на себя чужое дело отказались.,"DELAY(4), FATAL",—,risky
FC16,Вернуться пожить к родителям — ненадолго?,"30–40, если FA11 = ДА и на счету минус",Сцена,Аренду платить не надо; своя комната снова детская,"Дн +30, Отн −5",Выкарабкиваешься сам,—,Дома всегда ждут!,Гордый!,"В тридцать вернулись пожить к родителям — ненадолго, конечно.","К родителям не вернулись, как бы туго ни было.",,—,bitter
FC17,Спать в обед в машине на парковке?,25–29,Сцена,"Двадцать минут, и жить можно",Эн +18,Обед как у людей,Эн −8,Хитрец!,Держится!,Обеды проводили во сне на парковке.,Обеденный сон считали позором.,,—,bitter
FC18,Кофе вместо завтрака каждый день?,25–29,Соблазн,"Бодро сейчас, дорого потом","Эн +8, Здр −15",Завтракаешь как человек,Здр +7,Топливо!,Каша!,Завтрак заменяли кофе много лет подряд.,"Завтракали всегда, даже когда некогда.",,—,risky
FC19,Отключить уведомления на все выходные?,25–29,Сцена,Тишина; один заказ ушёл к другому,"Эн +18, Дн −20",Всегда на связи,Эн −8,Свобода!,На связи!,Выходные проводили с выключенным телефоном.,Телефон не выключали никогда.,,—,warm
FC20,"Признаться, что не справляешься?",25–29,Сцена,Сказал вслух — стало легче,"Отн +12, Эн +8",Держишь лицо,"Эн −18, Здр −7",Честно!,Держим лицо!,"Однажды признались, что не справляются, и стало легче.","Держали лицо, пока держалось.",,—,bitter
FC21,"Взять больничный, когда не болен?",25–29,Кек,Три дня жизни и лёгкая вина,"Эн +18, Дн −25",Идёшь как есть,Эн −18,Симулянт!,Стойкий!,Больничные брали здоровыми и не считали это обманом.,Больничных не брали даже больными.,ROND,—,absurd
FC22,Одноклассник купил квартиру. Полистать его сторис до конца?,25–29,Соблазн,Долистал; настроения нет,"Эн −8, Здр −7",Закрыл сразу,—,Интересно?,Молодец!,Чужие сторис долистывали до конца и потом плохо спали.,Чужие успехи листать не стали.,ROND,—,bitter
FC23,"Написать тому, кто обошёл тебя, «поздравляю»?",25–29,Сцена,Написал; и правда полегчало,Отн +5,Промолчал,Эн −8,Красиво!,Обидно!,"Тем, кто обходил, писали «поздравляю» — и почти искренне.","Поздравлять тех, кто обошёл, не стали ни разу.",,—,bitter
FC24,"Начать делать то же, что у всех получается?",25–29,Соблазн,"Курс, оборудование, три недели энтузиазма","Дн −30, Эн −18",Занимаешься своим,—,В тренде!,Своё!,"Пробовали делать то же, что у всех, и бросили на третьей неделе.",Чужим путём идти не стали.,BLOCK$,—,risky
FC25,"Соврать про свою зарплату, когда спросили?",25–29,Кек,Назвал красивую цифру,Отн −5,Сказал как есть,"Отн +5, Здр −7",Красиво!,Честно!,Про свою зарплату всегда врали в большую сторону.,"Про деньги говорили как есть, даже когда стыдно.",ROND,—,absurd
FC26,"Удалить приложение, от которого хуже?",25–29,Сцена,Удалил; первые дни пусто,"Эн +18, Отн −5",Оставил,Эн −8,Свобода!,Ещё чуть-чуть!,"Приложение, от которого было хуже, однажды удалили.","Приложение, от которого было хуже, так и не удалили.",,—,warm
FC27,Спина заболела впервые. Идти к врачу?,25–29,Сцена,"Осмотр, упражнения, помогло","Дн −30, Здр +15",Пройдёт само,Здр −15,Разумно!,Пройдёт!,"Со спиной пошли к врачу сразу, и это спасло много лет.","Спину лечили тем, что ждали.",BLOCK$,—,warm
FC28,Похмелье теперь два дня. Продолжать как раньше?,25–29,Соблазн,Как раньше уже не выходит,"Здр −15, Отн +5",Сбавил обороты,"Здр +7, Отн −5",Молодость!,Взрослый!,"Пили как в двадцать, пока тело позволяло.",Сбавили обороты вовремя.,,—,risky
FC29,"Заказать очки, которые давно нужны?",25–29,Сцена,Мир снова резкий,"Дн −25, Здр +7",Щуришься дальше,Здр −7,Интеллигент!,И так вижу!,"Очки заказали, когда щуриться стало стыдно.","Очки не заказали, хотя пора было.",BLOCK$,—,warm
FC30,Первый седой волос — выдернуть?,25–29,Кек,Выдернул; на его месте вырастут трое,—,Пусть живёт,—,Борьба!,Мудрость!,"Первый седой волос выдернули, остальные уже не трогали.",Первый седой волос оставили в покое.,ROND,—,absurd
FC31,"Сдать анализы за свой счёт, просто так?",25–29,Сцена,Всё оказалось не так страшно,"Дн −30, Здр +15",Не знаешь — не болит,—,Молодец!,Не знаю — не болит!,"Анализы сдавали просто так, и однажды это пригодилось.","Анализов не сдавали, пока не прижало.",BLOCK$,—,warm
FC32,Отложить первую подушку безопасности?,25–29,Развилка,Сейчас туго; через ~10 лет вернётся вдвое,Дн −50,Живёшь как живётся,—,Хозяин!,Живём сейчас!,Первую подушку отложили в двадцать пять и однажды на ней выжили.,Подушки безопасности так и не собрали.,"BLOCK$, DELAY(10)",DRAIN:Дн=+100 ONCE:10y,
FC33,"Дать родителям денег, когда они не просили?",25–29,Сцена,Взяли не сразу,"Дн −40, Отн +12",В другой раз,Отн −5,Сын года!,Потом!,"Родителям давали денег раньше, чем те попросят.",Родителям денег не предлагали — они же не просили.,BLOCK$,—,warm
FC34,"Вложиться по совету друга, который «в теме»?",25–29,Соблазн,Рандом: друг был в теме или нет,Дн ±50,Своими деньгами рискуешь сам,—,Инсайд!,Своим умом!,"Вкладывались по совету друга, который был в теме.",Чужим советам про деньги не верили.,RANDOM_OUTCOME,—,risky
FC35,Начать вести таблицу расходов?,25–29,Кек,Две недели дисциплины и находка,"Эн −8, Дн +25",Считаешь в уме,—,Бухгалтер!,И так помню!,Таблицу расходов вели ровно две недели.,Расходы считали в уме и всегда ошибались.,ROND,—,absurd
FC36,"Отказаться от подписок, которыми не пользуешься?",25–29,Сцена,Отменил семь из девяти,Дн +20,Пусть висят,Дн −20,Экономия!,Пусть висят!,Подписки однажды пересчитали и половину отменили.,Подписки висели годами и списывались сами.,,—,absurd
FC37,Отпроситься с работы на утренник?,"30–39, если MD02=ДА",Сцена,Час на стуле в актовом зале,"Дн −25, Отн +12",Работа не ждёт,"Дн +20, Отн −12",Отец года!,Работа важнее!,"На утренники отпрашивались с работы, всегда.",Утренники пропускали — работа не ждала.,,—,warm
FC38,Садик или бабушка?,"30–39, если MD02=ДА",Развилка,"Садик: дорого, зато свобода","Дн −40, Эн +18","Бабушка: бесплатно, зато её правила","Отн −5, Эн +8",Социализация!,Бабушка знает!,Ребёнка отдали в садик и выдохнули.,Ребёнка растила бабушка по своим правилам.,BLOCK$,—,
FC39,Записать ребёнка на все кружки сразу?,"30–39, если MD02=ДА",Соблазн,"Пять кружков, вечная развозка","Дн −50, Эн −18","Один кружок, и хватит",—,Развитие!,Пусть гуляет!,Ребёнка записали на всё сразу и возили пять лет.,"Кружков было ровно столько, сколько выдерживали.",BLOCK$,—,absurd
FC40,"Наорать, когда закончилось терпение?","30–39, если MD02=ДА",Сцена,Наорал; стало тихо и стыдно,"Отн −12, Эн +8",Сдержался; вышло дороже,"Эн −18, Отн +5",Ой.,Железный!,"Однажды наорали так, что до сих пор помнят оба.","На ребёнка не орали ни разу, и это стоило сил.",,—,bitter
FC41,"«Папа, смотри!» посреди рабочего звонка — посмотреть?","30–39, если MD02=ДА",Сцена,Посмотрел; звонок подождал,"Отн +12, Дн −20","Потом, я работаю",Отн −12,Смотрим!,Потом-потом!,"Смотрели, когда звали, даже посреди работы.","На «папа, смотри» отвечали «потом» и однажды перестали слышать.",,—,warm
FC42,Начальник теперь младше тебя. Остаться?,30–39,Развилка,"Остаёшься, зарплата та же",Эн −8,Уходишь в никуда,Эн +18,Смирение!,Гордость!,"Работали под начальником, который был младше.","Ушли, когда начальник оказался младше.",,НЕТ:MULT:Дн=x0.8,bitter
FC43,Переучиться на новое в тридцать пять?,30–39,Развилка,"Курс, полгода вечеров; через ~3 года доход ×1.4","Дн −50, Эн −18",Остаёшься в своём,—,Не поздно!,Поздно!,В тридцать пять переучились и начали заново.,Переучиваться не стали — было поздно.,"BLOCK$, DELAY(3)",MULT:Дн=x1.4 FROM:38,
FC44,"Пойти на собеседование, где ты самый старший?",30–39,Сцена,Рандом: оценили опыт или возраст,"Дн ±30, Здр −7",Не пошёл,—,Смело!,Понятно!,"Ходили на собеседования, где были самыми старшими.",На собеседования больше не ходили.,RANDOM_OUTCOME,—,risky
FC45,"Сократили. Согласиться на первое, что предложили?",30–39,Развилка,"Работа сразу, но хуже",Дн +25,Ждёшь нормального,Эн −18,Синица!,Журавль!,"После сокращения согласились на первое, что дали.",После сокращения ждали своего и дождались.,,MULT:Дн=x0.7,bitter
FC46,"Работать с теми, кто младше и быстрее?",30–39,Сцена,"Тянешься, устаёшь, держишься","Эн −18, Дн +25",Идёшь своим темпом,"Эн +8, Дн −20",Держим темп!,Свой темп!,"Тянулись за теми, кто младше, и почти успевали.",Работали в своём темпе и никуда не спешили.,,—,bitter
FC47,Мама путает даты. Отвезти к врачу?,32–39,Сцена,"Записал, отвёз, узнал раньше","Дн −40, Эн −8, Отн +12",Просто устала,Отн −12,Вовремя!,Само пройдёт!,"Маму отвезли к врачу, когда она только начала путать даты.",Первые звоночки у мамы списали на усталость.,BLOCK$,—,warm
FC48,Перевезти родителей к себе?,33–39,Развилка,"Тесно, шумно, вместе","Дн −30, Эн −18, Отн −12",Пусть живут как жили,Отн −5,Семья!,Каждому своё!,"Родителей перевезли к себе, и стало тесно всем.",Родители жили отдельно до последнего.,BLOCK$,—,bitter
FC49,Оплатить родителям операцию?,33–39,Сцена,Все накопления уходят разом,"Дн −100, Отн +12",Нечем или не стал,"Отн −12, Здр −7",Сын!,Ох.,"Операцию родителям оплатили, отдав всё, что было.",Операцию родителям оплатить не смогли.,BLOCK$,—,
FC50,"Разобрать родительскую квартиру, пока они живы?",35–39,Сцена,"Три дня, коробки, разговоры","Эн −8, Отн +5",Потом как-нибудь,—,Разумно!,Успеется!,"Родительскую квартиру разбирали вместе с ними, и это оказалось важно.",Родительскую квартиру разбирали уже без них.,,—,bitter
FC51,"Записать, как отец рассказывает про своё детство?",33–39,Сцена,"Два часа диктофона, которые останутся","Эн −8, Отн +12",В другой раз,Отн −5,Летописец!,Успеется!,"Отца записали на диктофон, и эти два часа потом слушали много раз.",Записать отца всё собирались и не успели.,,—,warm
FC52,Пойти в зал в тридцать пять?,33–39,Хобби,"Абонемент, три раза в неделю, полгода","Дн −40, Здр +15, Эн −8",Диван знает тебя,Здр −7,Атлет!,Диван!,"В тридцать пять пошли в зал и ходили дольше, чем ожидали.",В зал так и не пошли.,BLOCK$,—,warm
FC53,Бросить курить?,30–39,Развилка,"Три недели ада, потом легче","Здр +30, Эн −18",Куришь дальше,Здр −15,Герой!,Ну-ну.,"Курить бросили, и это добавило лет.",Курить так и не бросили.,,—,
FC54,Бессонница третий месяц. Идти к врачу?,33–39,Сцена,"Разобрались, сон вернулся","Дн −30, Эн +18",Терпишь,"Эн −18, Здр −7",Разумно!,Потерпим!,С бессонницей пошли к врачу и снова стали спать.,Бессонницу терпели годами.,BLOCK$,—,warm
FC55,Пройти полную диспансеризацию?,35–39,Сцена,"Целый день, зато всё известно","Дн −50, Здр +15",Не знаешь — не болит,—,Молодец!,Не хочу знать!,"Диспансеризацию проходили целиком, не выбирая.",Полностью обследоваться так и не собрались.,BLOCK$,—,warm
FC56,«Вам надо беречься». Начать беречься?,35–39,Развилка,"Меньше всего, зато дольше","Здр +15, Эн +8, Отн −5",Живёшь как жил,Здр −15,Мудро!,Живём!,"Беречься начали, когда сказали, и это сработало.",Беречься не стали — жили как жили.,,—,
